BasinID	LandSegmentID
154	1541
154	1542
154	1543
154	1544
154	1545
155	1551
155	1552
155	1553
155	1554
155	1555
156	1561
156	1562
156	1563
156	1564
156	1565
157	1571
157	1572
157	1573
157	1574
157	1575
158	1581
158	1582
158	1583
158	1584
158	1585
159	1591
159	1592
159	1593
159	1594
159	1595
160	1601
160	1602
160	1603
160	1604
160	1605
161	1611
161	1612
161	1613
161	1614
161	1615
162	1621
162	1622
162	1623
162	1624
162	1625
169	1691
169	1692
169	1693
169	1694
170	1701
170	1702
170	1703
170	1705
